ResponseId	Trigger	Trigger Token	Action	Action Token	Frequency	Week	Time	Schedule
R_3NX4cRKH0AY7nzL	walk in the house	<Motion_Sensor,motion,detected>	lights come on	<Light_Bulb,switch,on>	Few times in a day (1-5/day)	Anytime	Evening (5pm-8pm)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	I tell Alexa goodnight	<Smart_Assistant,voice,command>	turn off all lights read my calendar for tomorrow start sleep monitor close blinds	<Light_Bulb-Shades/Blinds-Sleep_Monitor-Smart_Assistant,switch-contact-switch-notification,off-closed-on-notify>	Few times in a day (1-5/day)	Anytime	Night (8pm-6am)	Manually-triggered (e.g. |  a button press)
R_3NX4cRKH0AY7nzL	If I am sleeping badly	<Sleep_Monitor,sleeping,not_detected>	adjust temperature and turn on white noise	<Speaker-Thermostat,switch-thermostat,on-auto>	Few times in a week (1-5/week)	Anytime	Night (8pm-6am)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	I will be home soon	<null,locationMode,home>	set temperature to 72 via thermostat	<Thermostat,thermostat,auto>	Few times in a day (1-5/day)	Anytime	Evening (5pm-8pm)	Scheduled-time (e.g. |  brew coffee at 7 am)
R_3NX4cRKH0AY7nzL	I tell Alexa to play something	<Smart_Assistant,voice,command>	play that on my smart tv	<Smart_TV,channel,fixed_value>	Few times in a day (1-5/day)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	when I leave house	<null,locationMode,away>	start smart vacuum	<Robot_Vacuum,switch,on>	Few times in a week (1-5/week)	Weekday	Morning (6am- 11am) | Around noon (11am-1pm)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	I tell Alexa to play music or audiobook	<Smart_Assistant,voice,command>	play music or audiobook on audio player	<Smart_Assistant,notification,notify>	Few times in a day (1-5/day)	Anytime	Night (8pm-6am)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	I switch rooms	<Motion_Sensor,motion,detected>	move music or audiobook to that room	<Smart_Assistant,notification,notify>	Few times in a day (1-5/day)	Anytime	Night (8pm-6am)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	my clothes dryer or washer finishes	<Clothes_Dryer,completion,true>	alert me through Alexa and text message	<Smart_Assistant-Phone,notification-notitication,notify-notify>	Few times in a week (1-5/week)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	someone rings my doorbell	<Doorbell,button,pushed>	alert me via phone and Alexa with live video of who is there	<Phone-Security_Camera,notification-video,notify-record>	Few times in a week (1-5/week)	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	the ground moisture is low and rain is not in the next 12ish hours	<Moisture_Sensor-Weather_Station,water-rain,dry-false>	turn on sprinkler	<Garden_Sprinkler,switch,on>	Few times in a month	Anytime	Morning (6am- 11am)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	I tell Alexa to turn on sprinkler	<Smart_Assistant,voice,command>	turn on sprinkler	<Garden_Sprinkler,switch,on>	Few times in a year	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	alarm goes off	<null,time,morning>	slowly start turning on lights before that for easier wake up	<Light_Bulb,colorValue,fixed_value>	Few times in a day (1-5/day)	Anytime	Morning (6am- 11am)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	its dark outside	<Illuminance_Sensor,illuminance,lesser>	remove blue hue from lights to start the production of melanin in the body	<Light_Bulb,colorValue,fixed_value>	Few times in a day (1-5/day)	Anytime	Evening (5pm-8pm) | Night (8pm-6am)	Executed at random (e.g. |  every time I enter the room)
R_3NX4cRKH0AY7nzL	humidity is above a threshold	<Humidity_Sensor,humidity,greater>	turn on dehumidifier	<Dehumidifier,switch,on>	Few times in a year	Anytime	Anytime	Executed at random (e.g. |  every time I enter the room)
